_date_,_close_,_high_,_low_,_open_
2020-01-08 10:20,254.25,255.80,254.20,255.50
2020-01-08 10:25,254.25,254.37,253.80,254.21
2020-01-08 10:30,254.10,254.53,254.10,254.25
2020-01-08 10:35,254.11,254.33,253.90,254.09
2020-01-08 10:40,254.00,254.15,253.85,254.12
2020-01-08 10:45,254.37,254.43,253.85,254.07
2020-01-08 10:50,254.19,254.50,254.05,254.31
2020-01-08 10:55,254.11,254.30,254.00,254.13
2020-01-08 11:00,253.96,254.15,253.81,254.15
2020-01-08 11:05,254.02,254.21,253.93,253.96
2020-01-08 11:10,254.01,254.15,253.94,254.07
2020-01-08 11:15,253.96,254.10,253.92,254.01
2020-01-08 11:20,254.06,254.12,253.89,253.96
2020-01-08 11:25,254.03,254.10,253.94,254.02
2020-01-08 11:30,253.40,254.10,253.40,254.03
2020-01-08 11:35,252.85,253.46,252.85,253.40
2020-01-08 11:40,251.99,252.90,251.82,252.86
2020-01-08 11:45,252.62,252.78,251.85,252.00
2020-01-08 11:50,252.69,252.84,252.60,252.70
2020-01-08 11:55,253.09,253.19,252.63,252.69
2020-01-08 12:00,253.45,253.50,253.00,253.08
2020-01-08 12:05,253.72,253.78,253.49,253.49
2020-01-08 12:10,254.09,254.14,253.70,253.71
2020-01-08 12:15,254.06,254.15,253.75,254.07
2020-01-08 12:20,254.08,254.20,253.97,254.08
2020-01-08 12:25,254.02,254.11,253.95,254.08
2020-01-08 12:30,254.06,254.22,253.97,254.03
2020-01-08 12:35,254.06,254.20,253.98,254.06
2020-01-08 12:40,254.20,254.33,254.06,254.06
2020-01-08 12:45,254.27,254.34,254.22,254.24
2020-01-08 12:50,254.14,254.30,253.95,254.25
2020-01-08 12:55,254.14,254.20,254.07,254.14
2020-01-08 13:00,253.44,254.12,253.33,254.11
2020-01-08 13:05,253.71,253.73,253.29,253.40
2020-01-08 13:10,253.41,253.71,253.35,253.65
2020-01-08 13:15,253.70,253.84,253.39,253.45
2020-01-08 13:20,253.79,254.08,253.52,253.77
2020-01-08 13:25,253.71,254.06,253.63,253.82
2020-01-08 13:30,253.66,253.86,253.63,253.70
2020-01-08 13:35,253.63,253.80,253.51,253.66
2020-01-08 13:40,253.97,254.00,253.64,253.68
2020-01-08 13:45,254.19,254.24,253.91,254.00
2020-01-08 13:50,254.26,254.38,254.00,254.17
2020-01-08 13:55,254.30,254.31,254.07,254.26
2020-01-08 14:00,254.32,254.46,254.27,254.29
2020-01-08 14:05,254.44,254.68,254.26,254.33
2020-01-08 14:10,254.63,254.68,254.35,254.42
2020-01-08 14:15,254.44,254.65,254.44,254.63
2020-01-08 14:20,254.67,254.68,254.37,254.44
2020-01-08 14:25,254.71,254.80,254.55,254.68
2020-01-08 14:30,254.83,254.93,254.70,254.77
2020-01-08 14:35,254.45,254.86,254.33,254.86
2020-01-08 14:40,254.35,254.74,254.25,254.46
2020-01-08 14:45,254.30,254.40,253.99,254.40
2020-01-08 14:50,254.31,254.40,254.18,254.22
2020-01-08 14:55,254.30,254.38,254.12,254.31
2020-01-08 15:00,254.14,254.30,254.02,254.30
2020-01-08 15:05,254.17,254.27,253.94,254.11
2020-01-08 15:10,254.17,254.27,254.10,254.25
2020-01-08 15:15,254.33,254.43,254.10,254.17
2020-01-08 15:20,254.18,254.34,254.14,254.34
2020-01-08 15:25,254.18,254.18,254.10,254.18
2020-01-08 15:30,253.86,254.18,253.73,254.18
2020-01-08 15:35,254.02,254.02,253.66,253.88
2020-01-08 15:40,254.13,254.20,254.00,254.04
2020-01-08 15:45,254.10,254.19,254.02,254.13
2020-01-08 15:50,254.09,254.20,254.06,254.10
2020-01-08 15:55,254.19,254.24,253.97,254.05
2020-01-08 16:00,254.22,254.41,254.11,254.15
2020-01-08 16:05,254.21,254.41,254.20,254.22
2020-01-08 16:10,254.27,254.38,254.21,254.21
2020-01-08 16:15,254.06,254.22,254.01,254.22
2020-01-08 16:20,254.24,254.30,254.01,254.01
2020-01-08 16:25,254.01,254.32,254.01,254.29
2020-01-08 16:30,254.26,254.26,254.01,254.01
2020-01-08 16:35,254.19,254.34,254.15,254.26
2020-01-08 16:40,254.33,254.37,254.12,254.19
2020-01-08 16:45,254.17,254.32,254.05,254.32
2020-01-08 16:50,254.19,254.26,254.01,254.18
2020-01-08 16:55,254.26,254.49,254.20,254.20
2020-01-08 17:00,254.09,254.73,254.03,254.23
2020-01-08 17:05,254.11,254.21,254.07,254.11
2020-01-08 17:10,254.03,254.19,253.81,254.15
2020-01-08 17:15,253.99,254.16,253.81,254.04
2020-01-08 17:20,254.41,254.53,253.96,253.96
2020-01-08 17:25,254.52,254.59,254.40,254.48
2020-01-08 17:30,254.43,254.60,254.40,254.52
2020-01-08 17:35,254.24,254.48,254.20,254.46
2020-01-08 17:40,254.39,254.48,254.25,254.27
2020-01-08 17:45,254.43,254.50,254.21,254.40
2020-01-08 17:50,254.57,254.65,254.39,254.43
2020-01-08 17:55,254.07,254.07,254.07,254.07
2020-01-08 18:00,253.50,254.35,253.44,253.99
2020-01-08 18:05,253.43,253.53,253.22,253.50
2020-01-08 18:10,253.53,253.60,253.28,253.41
2020-01-08 18:15,253.81,253.97,253.40,253.60
2020-01-08 18:20,253.62,254.08,253.61,253.86
2020-01-08 18:25,253.60,253.93,253.51,253.68
2020-01-08 18:30,253.65,253.80,253.55,253.60
2020-01-08 18:35,253.12,253.66,252.75,253.60
2020-01-08 18:40,252.90,253.34,252.90,253.03
2020-01-08 18:45,253.09,253.25,252.71,252.89
2020-01-08 18:50,253.30,253.38,253.01,253.12
2020-01-08 18:55,253.39,253.40,253.11,253.30
2020-01-09 10:00,253.38,253.72,253.10,253.28
2020-01-09 10:05,253.20,253.38,253.00,253.37
2020-01-09 10:10,253.00,253.20,252.72,253.20
2020-01-09 10:15,253.00,253.28,252.80,252.97
2020-01-09 10:20,252.70,252.99,252.58,252.99
2020-01-09 10:25,252.73,252.90,252.42,252.67
2020-01-09 10:30,252.95,253.00,252.73,252.79
2020-01-09 10:35,253.22,253.30,252.72,252.99
2020-01-09 10:40,253.08,253.38,253.00,253.23
2020-01-09 10:45,253.09,253.15,252.95,253.01
2020-01-09 10:50,252.97,253.41,252.86,253.05
2020-01-09 10:55,253.23,253.28,252.90,252.99
2020-01-09 11:00,253.17,253.30,253.02,253.19
2020-01-09 11:05,253.24,253.30,253.01,253.09
2020-01-09 11:10,253.69,253.74,253.11,253.24
2020-01-09 11:15,253.70,253.90,253.34,253.68
2020-01-09 11:20,254.20,254.27,253.58,253.70
2020-01-09 11:25,254.31,254.39,254.00,254.18
2020-01-09 11:30,254.30,254.60,254.29,254.31
2020-01-09 11:35,254.19,254.38,254.13,254.30
2020-01-09 11:40,254.25,254.30,254.15,254.17
2020-01-09 11:45,254.15,254.44,254.15,254.25
2020-01-09 11:50,253.92,254.20,253.85,254.15
2020-01-09 11:55,254.00,254.00,253.80,253.94
2020-01-09 12:00,253.91,254.00,253.84,254.00
2020-01-09 12:05,253.96,254.00,253.81,253.90
2020-01-09 12:10,254.00,254.00,253.90,253.96
2020-01-09 12:15,253.90,254.00,253.90,254.00
2020-01-09 12:20,253.71,253.92,253.63,253.92
2020-01-09 12:25,253.71,253.77,253.41,253.70
2020-01-09 12:30,253.40,253.71,253.30,253.71
2020-01-09 12:35,253.40,253.45,253.20,253.36
2020-01-09 12:40,253.13,253.46,253.10,253.40
2020-01-09 12:45,252.98,253.22,252.91,253.13
2020-01-09 12:50,253.16,253.22,252.91,253.00
2020-01-09 12:55,253.00,253.30,252.86,253.15
2020-01-09 13:00,253.10,253.22,252.97,253.02
2020-01-09 13:05,253.20,253.39,253.07,253.10
2020-01-09 13:10,253.15,253.27,253.06,253.23
2020-01-09 13:15,252.98,253.23,252.95,253.22
2020-01-09 13:20,252.94,252.99,252.77,252.99
2020-01-09 13:25,252.82,252.95,252.72,252.94
2020-01-09 13:30,253.04,253.20,252.72,252.81
2020-01-09 13:35,253.04,253.20,252.93,253.04
2020-01-09 13:40,253.03,253.09,252.83,253.02
2020-01-09 13:45,253.07,253.22,252.91,253.03
2020-01-09 13:50,253.06,253.11,253.00,253.08
2020-01-09 13:55,253.04,253.13,252.97,253.06
2020-01-09 14:00,252.88,253.11,252.78,253.02
2020-01-09 14:05,252.94,253.00,252.72,252.89
2020-01-09 14:10,252.77,252.98,252.72,252.93
2020-01-09 14:15,252.84,252.88,252.75,252.76
2020-01-09 14:20,253.06,253.15,252.72,252.83
2020-01-09 14:25,252.93,253.07,252.90,253.07
2020-01-09 14:30,252.81,253.01,252.73,252.93
2020-01-09 14:35,252.99,253.00,252.80,252.81
2020-01-09 14:40,252.97,253.04,252.95,252.99
2020-01-09 14:45,252.97,253.04,252.96,252.97
2020-01-09 14:50,252.85,252.97,252.74,252.96
2020-01-09 14:55,252.80,252.86,252.75,252.83
2020-01-09 15:00,252.38,252.83,252.31,252.80
2020-01-09 15:05,252.20,252.48,252.16,252.38
2020-01-09 15:10,252.27,252.40,252.05,252.21
2020-01-09 15:15,252.25,252.36,252.06,252.31
2020-01-09 15:20,252.25,252.33,252.07,252.26
2020-01-09 15:25,252.21,252.34,252.10,252.25
2020-01-09 15:30,252.20,252.35,252.05,252.20
2020-01-09 15:35,252.05,252.12,252.00,252.11
2020-01-09 15:40,252.15,252.29,251.87,252.04
2020-01-09 15:45,252.55,252.69,251.91,252.11
2020-01-09 15:50,252.65,252.84,252.52,252.55
2020-01-09 15:55,252.54,252.78,252.40,252.60
2020-01-09 16:00,252.37,252.65,252.17,252.59
2020-01-09 16:05,252.31,252.42,252.12,252.37
2020-01-09 16:10,252.20,252.42,252.14,252.30
2020-01-09 16:15,252.22,252.30,252.17,252.20
