<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200106;181000;255.9000000;255.9900000;255.8000000;255.9700000;158820
GAZP;5;20200106;181500;255.9700000;256.0000000;255.8700000;255.9800000;117080
GAZP;5;20200106;182000;255.9800000;256.0500000;255.9100000;255.9200000;214040
GAZP;5;20200106;182500;255.9200000;256.0200000;255.8000000;255.9100000;180620
GAZP;5;20200106;183000;255.9100000;255.9800000;255.8300000;255.8400000;119850
GAZP;5;20200106;183500;255.8400000;255.8800000;255.6700000;255.8300000;282740
GAZP;5;20200106;184500;256.5500000;256.5500000;256.5500000;256.5500000;2560000
GAZP;5;20200108;100000;256.2500000;256.2500000;255.6500000;255.8500000;712580
GAZP;5;20200108;100500;255.8800000;255.9100000;254.7700000;255.3500000;466020
GAZP;5;20200108;101000;255.4000000;255.9700000;255.3100000;255.9600000;284470
GAZP;5;20200108;101500;255.9600000;256.4900000;255.9600000;256.3000000;447920
GAZP;5;20200108;102000;256.3000000;256.9400000;256.2800000;256.9300000;577290
GAZP;5;20200108;102500;256.9300000;257.0000000;256.6000000;256.8600000;194600
GAZP;5;20200108;103000;256.8800000;257.3200000;256.8400000;257.0800000;337360
GAZP;5;20200108;103500;257.0700000;257.2000000;256.7000000;256.8600000;331160
GAZP;5;20200108;104000;256.8600000;257.1200000;256.6100000;256.8300000;256630
GAZP;5;20200108;104500;256.8300000;256.8400000;256.1900000;256.5500000;156850
GAZP;5;20200108;105000;256.5000000;256.5300000;255.8000000;256.0000000;577470
GAZP;5;20200108;105500;255.9600000;256.2500000;255.9500000;256.2000000;173980
GAZP;5;20200108;110000;256.1700000;256.4000000;255.9400000;256.0700000;389490
GAZP;5;20200108;110500;255.9900000;256.1700000;255.4000000;256.1400000;696300
GAZP;5;20200108;111000;256.1200000;256.1200000;255.7200000;256.0000000;201170
GAZP;5;20200108;111500;255.9400000;256.1000000;255.6500000;255.6800000;270360
GAZP;5;20200108;112000;255.6500000;255.7400000;255.3800000;255.7000000;531560
GAZP;5;20200108;112500;255.6900000;255.7800000;255.5700000;255.7500000;127310
GAZP;5;20200108;113000;255.7400000;255.9100000;255.6100000;255.9000000;144280
GAZP;5;20200108;113500;255.8900000;255.9300000;255.6600000;255.7800000;116550
GAZP;5;20200108;114000;255.7600000;256.0700000;255.5800000;255.9600000;162840
GAZP;5;20200108;114500;255.9600000;255.9900000;255.7600000;255.8800000;65100
GAZP;5;20200108;115000;255.8100000;255.8700000;255.5900000;255.6100000;245030
GAZP;5;20200108;115500;255.6400000;255.7000000;255.3000000;255.5100000;566460
GAZP;5;20200108;120000;255.3900000;255.7200000;255.1600000;255.5500000;659700
GAZP;5;20200108;120500;255.5500000;255.9500000;255.5300000;255.7600000;239400
